-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
  971.0    370   28.6   21.6     66  17.05     90     10  304.3  355.4  307.4
  925.0    798   23.0   17.0     69  13.35     65     10  302.8  342.6  305.2
  900.0   1037   20.8   15.8     73  12.70     57     10  302.9  340.8  305.2
  894.0   1095   20.6   15.4     72  12.46     55     10  303.3  340.6  305.6
  850.0   1532   19.4   12.4     64  10.75     70     10  306.4  339.1  308.4
  811.0   1935   17.6    8.6     56   8.72     81      8  308.7  335.6  310.3
  767.0   2407   14.7    5.2     53   7.31     95      5  310.5  333.4  311.9
  722.0   2918   11.6    1.6     50   5.99    150     10  312.5  331.5  313.6
  717.0   2977   11.2    1.2     50   5.86    142     10  312.7  331.3  313.8
  707.0   3094   11.2   -6.8     28   3.26    126     11  314.0  324.7  314.6
  700.0   3177   11.0   -8.0     26   3.00    115     11  314.6  324.6  315.2
  685.0   3355   10.1  -10.0     23   2.63    105     15  315.6  324.4  316.1
  665.0   3599    8.9  -12.6     20   2.19    125     13  317.0  324.4  317.4
  633.0   4005    7.0  -17.1     16   1.59    105     22  319.2  324.8  319.5
  609.0   4324    5.4  -20.6     13   1.23     98     21  320.9  325.3  321.2
  600.0   4443    4.6  -21.8     13   1.12     95     20  321.4  325.4  321.6
  500.0   5900   -4.9  -36.9      6   0.32    110     11  327.0  328.3  327.1
  491.0   6041   -6.1  -37.6      6   0.31    110     11  327.3  328.5  327.3
  461.0   6532  -10.1  -40.1      7   0.25     88     24  328.2  329.2  328.2
  457.0   6599  -10.2  -42.7      5   0.20     85     26  328.9  329.7  328.9
  441.0   6874  -10.7  -53.2      2   0.06     95     30  331.6  331.9  331.6
  434.0   6997  -10.9  -57.9      1   0.04     97     30  332.9  333.0  332.9
  424.0   7175  -11.8  -55.6      1   0.05    100     29  334.0  334.2  334.0
  400.0   7620  -13.9  -49.9      3   0.10     95     28  336.8  337.3  336.9
  398.0   7658  -14.0  -51.2      3   0.09     95     27  337.1  337.5  337.2
  385.0   7910  -14.9  -59.9      1   0.03    110     24  339.2  339.4  339.2
  361.0   8383  -18.8  -59.4      1   0.04    140     19  340.3  340.4  340.3
  330.0   9045  -24.3  -58.8      3   0.04    115     23  341.6  341.8  341.6
  309.0   9529  -28.3  -58.3      4   0.05    136     25  342.5  342.7  342.5
  301.0   9716  -29.5  -61.3      3   0.03    145     26  343.3  343.4  343.3
  300.0   9740  -29.7  -61.7      3   0.03    145     26  343.4  343.6  343.4
  283.0  10155  -31.7  -60.7      4   0.04    145     38  346.3  346.5  346.3
  281.0  10204  -32.1  -60.7      4   0.04    145     39  346.4  346.6  346.4
  250.0  11020  -38.7  -60.7      8   0.04    155     38  348.4  348.6  348.4
